test_type,row_index,X,Y,width,height
13pt2sp,gap0,0.28,0.2,0.438,0.03
13pt2sp,row1,0.28,0.229,0.438,0.01
13pt2sp,gap1,0.28,0.238,0.438,0.03
13pt2sp,row2,0.28,0.266,0.438,0.01
13pt2sp,gap2,0.28,0.276,0.438,0.03
13pt2sp,row3,0.28,0.304,0.438,0.01
13pt2sp,gap3,0.28,0.312,0.438,0.03
13pt2sp,row4,0.28,0.34,0.438,0.01
13pt2sp,gap4,0.28,0.348,0.438,0.03
13pt2sp,row5,0.28,0.377,0.438,0.01
13pt2sp,gap5,0.28,0.387,0.438,0.03
13pt2sp,row6,0.28,0.415,0.438,0.01
13pt2sp,gap6,0.28,0.423,0.438,0.03
13pt2sp,row7,0.28,0.451,0.438,0.01
13pt2sp,gap7,0.28,0.461,0.438,0.03
13pt2sp,row8,0.28,0.488,0.438,0.01
13pt2sp,gap8,0.28,0.498,0.438,0.03
13pt2sp,row9,0.28,0.526,0.438,0.01
13pt2sp,gap9,0.28,0.536,0.438,0.03
13pt2sp,row10,0.28,0.562,0.438,0.01
13pt2sp,gapQuestion,0.28,0.572,0.438,0.102
13pt2sp,question,0.28,0.674,0.438,0.01
10pt1.2sp,gap0,0.34,0.263,0.2,0.01
10pt1.2sp,row1,0.34,0.272,0.2,0.008
10pt1.2sp,gap1,0.34,0.279,0.2,0.01
10pt1.2sp,row2,0.34,0.289,0.2,0.008
10pt1.2sp,gap2,0.34,0.296,0.2,0.01
10pt1.2sp,row3,0.34,0.306,0.2,0.008
10pt1.2sp,gap3,0.34,0.313,0.2,0.01
10pt1.2sp,row4,0.34,0.323,0.2,0.008
10pt1.2sp,gap4,0.34,0.33,0.2,0.01
10pt1.2sp,row5,0.34,0.338,0.2,0.008
10pt1.2sp,gap5,0.34,0.346,0.2,0.01
10pt1.2sp,row6,0.34,0.355,0.2,0.008
10pt1.2sp,gap6,0.34,0.362,0.2,0.01
10pt1.2sp,row7,0.34,0.372,0.2,0.008
10pt1.2sp,gap7,0.34,0.379,0.2,0.01
10pt1.2sp,row8,0.34,0.389,0.2,0.008
10pt1.2sp,gap8,0.34,0.396,0.2,0.01
10pt1.2sp,row9,0.34,0.406,0.2,0.008
10pt1.2sp,gap9,0.34,0.413,0.2,0.01
10pt1.2sp,row10,0.34,0.422,0.2,0.008
10pt1.2sp,gapQuestion,0.34,0.429,0.2,0.044
10pt1.2sp,question,0.34,0.473,0.2,0.008
13pt1.2spA,gap0,0.322,0.216,0.232,0.014
13pt1.2spA,row1,0.322,0.229,0.232,0.01
13pt1.2spA,gap1,0.322,0.239,0.232,0.014
13pt1.2spA,row2,0.322,0.251,0.232,0.01
13pt1.2spA,gap2,0.322,0.261,0.232,0.014
13pt1.2spA,row3,0.322,0.274,0.232,0.01
13pt1.2spA,gap3,0.322,0.284,0.232,0.014
13pt1.2spA,row4,0.322,0.296,0.232,0.01
13pt1.2spA,gap4,0.322,0.306,0.232,0.014
13pt1.2spA,row5,0.322,0.318,0.232,0.01
13pt1.2spA,gap5,0.322,0.328,0.232,0.014
13pt1.2spA,row6,0.322,0.341,0.232,0.01
13pt1.2spA,gap6,0.322,0.351,0.232,0.014
13pt1.2spA,row7,0.322,0.363,0.232,0.01
13pt1.2spA,gap7,0.322,0.372,0.232,0.014
13pt1.2spA,row8,0.322,0.384,0.232,0.01
13pt1.2spA,gap8,0.322,0.394,0.232,0.014
13pt1.2spA,row9,0.322,0.407,0.232,0.01
13pt1.2spA,gap9,0.322,0.417,0.232,0.014
13pt1.2spA,row10,0.322,0.429,0.232,0.01
13pt1.2spA,gap10,0.322,0.439,0.232,0.014
13pt1.2spA,row11,0.322,0.451,0.232,0.01
13pt1.2spA,gapQuestion,0.322,0.461,0.232,0.057
13pt1.2spA,question,0.322,0.518,0.232,0.01
16pt1.2sp,gap0,0.29,0.192,0.42,0.016
16pt1.2sp,row1,0.29,0.208,0.42,0.012
16pt1.2sp,gap1,0.29,0.219,0.42,0.016
16pt1.2sp,row2,0.29,0.234,0.42,0.012
16pt1.2sp,gap2,0.29,0.245,0.42,0.016
16pt1.2sp,row3,0.29,0.26,0.42,0.012
16pt1.2sp,gap3,0.29,0.272,0.42,0.016
16pt1.2sp,row4,0.29,0.286,0.42,0.012
16pt1.2sp,gap4,0.29,0.297,0.42,0.016
16pt1.2sp,row5,0.29,0.312,0.42,0.012
16pt1.2sp,gap5,0.29,0.323,0.42,0.016
16pt1.2sp,row6,0.29,0.338,0.42,0.012
16pt1.2sp,gap6,0.29,0.35,0.42,0.016
16pt1.2sp,row7,0.29,0.363,0.42,0.012
16pt1.2sp,gap7,0.29,0.374,0.42,0.016
16pt1.2sp,row8,0.29,0.389,0.42,0.012
16pt1.2sp,gap8,0.29,0.4,0.42,0.016
16pt1.2sp,row9,0.29,0.414,0.42,0.012
16pt1.2sp,gap9,0.29,0.427,0.42,0.016
16pt1.2sp,row10,0.29,0.439,0.42,0.012
16pt1.2sp,gapQuestion,0.29,0.451,0.42,0.069
16pt1.2sp,question,0.29,0.52,0.42,0.012
20pt1.2sp,gap0,0.18,0.197,0.776,0.025
20pt1.2sp,row1,0.18,0.222,0.776,0.014
20pt1.2sp,gap1,0.18,0.234,0.776,0.025
20pt1.2sp,row2,0.18,0.257,0.776,0.014
20pt1.2sp,gap2,0.18,0.269,0.776,0.025
20pt1.2sp,row3,0.18,0.292,0.776,0.014
20pt1.2sp,gap3,0.18,0.304,0.776,0.025
20pt1.2sp,row4,0.18,0.327,0.776,0.014
20pt1.2sp,gap4,0.18,0.339,0.776,0.025
20pt1.2sp,row5,0.18,0.362,0.776,0.014
20pt1.2sp,gap5,0.18,0.375,0.776,0.025
20pt1.2sp,row6,0.18,0.398,0.776,0.014
20pt1.2sp,gap6,0.18,0.41,0.776,0.025
20pt1.2sp,row7,0.18,0.433,0.776,0.014
20pt1.2sp,gap7,0.18,0.445,0.776,0.025
20pt1.2sp,row8,0.18,0.468,0.776,0.014
20pt1.2sp,gap8,0.18,0.48,0.776,0.025
20pt1.2sp,row9,0.18,0.504,0.776,0.014
20pt1.2sp,gap9,0.18,0.515,0.776,0.025
20pt1.2sp,row10,0.18,0.539,0.776,0.014
20pt1.2sp,gap10,0.18,0.551,0.776,0.025
20pt1.2sp,row11,0.18,0.574,0.776,0.014
20pt1.2sp,gapQuestion,0.18,0.586,0.776,0.094
20pt1.2sp,question,0.18,0.68,0.776,0.014
13pt1sp,gap0,0.288,0.256,0.424,0.01
13pt1sp,row1,0.288,0.266,0.424,0.01
13pt1sp,gap1,0.288,0.275,0.424,0.01
13pt1sp,row2,0.288,0.285,0.424,0.01
13pt1sp,gap2,0.288,0.294,0.424,0.01
13pt1sp,row3,0.288,0.303,0.424,0.01
13pt1sp,gap3,0.288,0.313,0.424,0.01
13pt1sp,row4,0.288,0.321,0.424,0.01
13pt1sp,gap4,0.288,0.33,0.424,0.01
13pt1sp,row5,0.288,0.34,0.424,0.01
13pt1sp,gap5,0.288,0.349,0.424,0.01
13pt1sp,row6,0.288,0.359,0.424,0.01
13pt1sp,gap6,0.288,0.369,0.424,0.01
13pt1sp,row7,0.288,0.378,0.424,0.01
13pt1sp,gap7,0.288,0.387,0.424,0.01
13pt1sp,row8,0.288,0.395,0.424,0.01
13pt1sp,gap8,0.288,0.405,0.424,0.01
13pt1sp,row9,0.288,0.415,0.424,0.01
13pt1sp,gap9,0.288,0.424,0.424,0.01
13pt1sp,row10,0.288,0.433,0.424,0.01
13pt1sp,gapQuestion,0.288,0.443,0.424,0.046
13pt1sp,question,0.288,0.489,0.424,0.01
13pt1.2spB,gap0,0.28,0.261,0.461,0.013
13pt1.2spB,row1,0.28,0.274,0.461,0.011
13pt1.2spB,gap1,0.28,0.283,0.461,0.013
13pt1.2spB,row2,0.28,0.295,0.461,0.011
13pt1.2spB,gap2,0.28,0.306,0.461,0.013
13pt1.2spB,row3,0.28,0.317,0.461,0.011
13pt1.2spB,gap3,0.28,0.328,0.461,0.013
13pt1.2spB,row4,0.28,0.34,0.461,0.011
13pt1.2spB,gap4,0.28,0.351,0.461,0.013
13pt1.2spB,row5,0.28,0.362,0.461,0.011
13pt1.2spB,gap5,0.28,0.372,0.461,0.013
13pt1.2spB,row6,0.28,0.384,0.461,0.011
13pt1.2spB,gap6,0.28,0.395,0.461,0.013
13pt1.2spB,row7,0.28,0.407,0.461,0.011
13pt1.2spB,gap7,0.28,0.418,0.461,0.013
13pt1.2spB,row8,0.28,0.428,0.461,0.011
13pt1.2spB,gap8,0.28,0.439,0.461,0.013
13pt1.2spB,row9,0.28,0.45,0.461,0.011
13pt1.2spB,gap9,0.28,0.461,0.461,0.013
13pt1.2spB,row10,0.28,0.473,0.461,0.011
13pt1.2spB,gapQuestion,0.28,0.484,0.461,0.056
13pt1.2spB,question,0.28,0.54,0.461,0.011
13pt1.5sp,gap0,0.268,0.212,0.322,0.019
13pt1.5sp,row1,0.268,0.229,0.322,0.01
13pt1.5sp,gap1,0.268,0.239,0.322,0.019
13pt1.5sp,row2,0.268,0.257,0.322,0.01
13pt1.5sp,gap2,0.268,0.266,0.322,0.019
13pt1.5sp,row3,0.268,0.285,0.322,0.01
13pt1.5sp,gap3,0.268,0.294,0.322,0.019
13pt1.5sp,row4,0.268,0.313,0.322,0.01
13pt1.5sp,gap4,0.268,0.323,0.322,0.019
13pt1.5sp,row5,0.268,0.341,0.322,0.01
13pt1.5sp,gap5,0.268,0.351,0.322,0.019
13pt1.5sp,row6,0.268,0.368,0.322,0.01
13pt1.5sp,gap6,0.268,0.377,0.322,0.019
13pt1.5sp,row7,0.268,0.396,0.322,0.01
13pt1.5sp,gap7,0.268,0.406,0.322,0.019
13pt1.5sp,row8,0.268,0.423,0.322,0.01
13pt1.5sp,gap8,0.268,0.433,0.322,0.019
13pt1.5sp,row9,0.268,0.451,0.322,0.01
13pt1.5sp,gap9,0.268,0.461,0.322,0.019
13pt1.5sp,row10,0.268,0.479,0.322,0.01
13pt1.5sp,gapQuestion,0.268,0.489,0.322,0.073
13pt1.5sp,question,0.268,0.562,0.322,0.01
